event_id,event_name,start_time,fighter_a,fighter_b,scheduled_rounds,is_title_fight,market,selection,book,american_odds
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jack Della Maddalena,Carlos Prates,5.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Beneil Dariush,Quillan Salkilld,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tim Elliott,Steve Erceg,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Shamil Gaziev,Brando Pericic,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Tai Tuivasa,Louie Sutherland,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Cam Rowston,Robert Bryczek,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Ben Johnston,Wes Schultz,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Ben Johnston,Wes Schultz,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jonathan Micallef,Themba Gorimbo,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jonathan Micallef,Themba Gorimbo,3.0,0,moneyline,fighter_b,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Dom Mar Fan,Kody Steele,3.0,0,moneyline,fighter_a,manual,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Dom Mar Fan,Kody Steele,3.0,0,moneyline,fighter_b,manual,
